3.88,2.68
.46,.15
8.5,2.81
8.56,2.51
.75,.22
18.16,5.55
5.84,2.78
7.55,2.57
9.279999999999999,4
10.26,3.84
.55,.22
.64,.22
.42,.15
9.94,3.73
.98,.23
.5,.17
13.44,3.91
.48,.2
.88,.26
.24,.17
.055,.03767123
.022,.05945946
16.71,8.525510199999999
10.49,6.1705882
.17,.05862069
16.66,7.2121212
11.51,6.6531792
3.08,2.0397351
.076,.03897436
15.01,6.9813953
10.85,5.5076142
8.09,2.3864307
.055,.03900709
5.23,2.7819149
6.32,2.3494424
2.52,2.5454545
.108,.03941606
9.07,5.4311377
6.48,2.6234818
.013,.031
.048,.022
.051,.03
.282,.128
.195,.099
.022,.021
.023,.026
.032,.022
.04,.03
.046,.021
.039,.017
.045,.03
.037,.028
.031,.016
.125,.124
-5.52,.16
-6.58,.09
-.804,.26
-.167,.068
-.361,.143
-.166,.118
-.195,.077
-.521,.177
-.103,.085
-.493,.128
-.152,.109
-.012,.115
-.742,.198
-.104,.136
-.052,.164
-.339,.301
-.174,.098
-.592,.169
-.289,.128
-.208,.234
-.181,.188
-.143,.12
-.605,.184
-.321,.1
-.403,.192
-.572,.125
-.222,.144
-.189,.09
-.614,.25
-.339,.128
-.07,.074
-.079,.209
-.208,.248
-.336,.106
-.889,.364
-.572,.262
-.292,.151
-.514,.13
-.113,.103
-.459,.176
-.367,.115
-.583,.147
-.13,.036
-.334,.15
-.703,.265
-.083,.034
2.076,.993
2.076,.993
2.489,1.219
4.717,2.569
.08,.025
.084,.017
.058,.009
2.628,1.347
.577,.16
.014,.008
.832,.115
.444,.156
.069,.016
.079,.031
.083,.017
.101,.025
.086,.018
3.349,1.359
6.315,1.028
6.315,1.028
.065,.053
.832,.115
.087,.05
.072,.02
.046,.009
3.349,1.359
.094,.025
.058,.009
.577,.16
.078,.025
.064,.017
.577,.16
.049,.055
.014,.008
.013,.008
6.315,1.028
.135,.033
.092,.059
3.349,1.359
.203,.038
.014,.008
.066,.018
.212,.038
.123,.032
.081,.021
.832,.115
.104,.027
.058,.009
9.19,3.3418182
11.07,2.5684455
1.88,2.1609195
6.95,2.3720137
-.00001,.006
-.017,.005
.615,.246
-.121,.089
.002,.006
-.018,.005
.574,.22
-.132,.102
2.303,.965
1.664,.413
1.85,1.398
1.811,.617
1.661,.434
1.532,.584
1.251,.694
1.573,.438
2.008,.988
1.573,.436
