.038,.046
.039,.046
.04,.046
.032,.019
.294,.152
.536,.223
.248,.112
.016,.016
.038,.018
.247,.128
.029,.017
-.287,.109
.503,.204
-.309,.122
-.258,.109
.307,.14
.288,.141
-.134,.073
-.101,.04
-.137,.063
-.117,.044
-.125,.064
.055,.013
.012,.016
.106,.023
.019,.014
.091,.023
.032,.013
.04,.014
.045,.026
.036,.027
.113,.028
.089,.025
.044,.034
.06,.022
.126,.033
.03,.011
.065,.063
.033,.025
.004,.012
.032,.017
.024,.017
.089,.068
.015,.015
.025,.021
.14,.032
.026,.015
.159,.062
.058,.017
.048,.008
.053,.046
.031,.013
.033,.008
.066,.009
.05,.014
.108,.01
.039,.007
.026,.007
.031,.007
.054,.0013
.084,.01
.1,.014
.034,.009
.081,.028
.007,.019
.075,.019
.127,.023
.291,.097
.152,.049
.193,.019
.147,.03
.129,.032
.185,.019
.143,.034
.21,.047
.109,.024
.184,.044
.31,.081
.106,.023
.226,.05
.161,.047
.125,.055
.133,.033
.145,.03
.202,.046
.105,.023
.152,.046
.314,.079
.196,.041
.191,.019
.195,.019
.304,.078
.144,.03
.275,.104
.182,.019
.277,.1
.189,.019
-.098,.037
-.033,.014
-.044,.016
-.038,.023
-.156,.041
-.192,.047
-1.074,.426
-3.504,.856
-11.106,5.222
-.006,.0126
-.389,.974
-1.276,.553
-.035,.012
-.273,.046
-.184,.033
.311,.103
.36,.088
.469,.179
.383,.152
.252,.072
.13,.054
.1,.054
.364,.133
.294,.073
.13,.055
.232,.072
.319,.103
.379,.152
.252,.068
.059,.026
.106,.036
.045,.008
.029,.007
.022,.01
.045,.013
.036,.007
.012,.044
.096,.046
.027,.008
.051,.021
.025,.006
.029,.01
.08,.034
.024,.037
.039,.012
.029,.005
.031,.008
.075,.025
.015,.037
.08,.039
.045,.034
.032,.005
.081,.036
.023,.007
.02,.009
.028,.008
.027,.008
.021,.006
.027,.012
.031,.035
.032,.01
.015,.006
.041,.011
.029,.045
.047,.065
.069,.081
.017,.011
.119,.029
.032,.009
.022,.024
.023,.028
.021,.017
.021,.007
.016,.029
.031,.007
.118,.032
.003,.03
.002,.006
.083,.036
.019,.006
.021,.005
.003,.032
.07,.091
.088,.026
.043,.011
.028,.014
.05,.034
.062,.025
.038,.007
.036,.009
.043,.026
.125,.051
.062,.011
.029,.008
.011,.023
.036,.025
.041,.009
.037,.01
.023,.013
.08,.026
.036,.009
.009,.021
.034,.038
.056,.012
.018,.007
.059,.012
.101,.043
.053,.007
.019,.003
.035,.018
.023,.011
.027,.005
.042,.012
.001,.021
.075,.082
-.033,.054
-.066,.09
.054,.054
.085,.059
.156,.042
.06,.077
.17,.087
.19,.044
.064,.038
-.027,.018
-.033,.054
2.227,.643
1.97,.888
.526,.206
.528,.233
.297,.131
.003,.067
.078,.039
-.032,.03
-.019,.031
.511,.239
.042,.018
.477,.203
.078,.039
.004,.019
-.02,.018
.323,.136
.026,.035
.012,.019
1.934,.855
.072,.032
.012,.035
2.217,.671
-.041,.052
.02,.022
.337,.098
.024,.065
.045,.018
.078,.032
.027,.023
-.524,.465
11.82,2.636
9.063000000000001,1.497
6.748,1.347
.297,.159
.065,.019
.0545,.202
2.354,.634
2.856,1.164
9.984999999999999,1.647
2.218,.645
.173,.028
-.259,.26
-2.35,.83
.349,.157
6.192,1.031
.13,.162
2.616,.57
10.71,2.277
.493,.232
6.717,.865
10.84,3.463
.0238,.13
7.004,.999
.289,.137
.364,.151
.187,.087
.363,.105
.209,.091
.211,.097
.097,.097
.125,.058
.075,.015
19.8,8.31
528,476
-.011,.021
-.047,.054
.06,.019
22.6,11.4
15.6,7.639
-.061,.019
.064,.031
887,487
-43.3,902
32.7,5.64
110,330
-.003,.027
23.3,76.90000000000001
12.9,9.27
-27.3,111
-13.8,599
-.009,.024
77,60
3.63,391
-.036,.015
1.87,18.7
-.043,.026
-443,1257
-.013,.026
.044,.048
-.015,.032
-72.5,222
226,163
.031,.024
-.417,.024
-.417,.024
-.419,.023
-.059,.123
.027,.092
.031,.114
-.42,.023
.072,.054
-.103,.125
.245,.053
.0071,.038
.06,.03
.0044,.0055
.085,.042
.091,.03
.163,.029
.017,.007
.01,.0058
.121,.046
.185,.052
.023,.01
.085,.03
.011,.012
.024,.039
.02,.037
.05,.034
.033,.036
.114,.041
.0002,.0092
.085,.041
-.024,.006
-.178,.074
-.02,.005
-.035,.006
-.026,.006
-.01,.101
-.249,.229
-.002,.001
-.02,.005
-.578,.133
-.108,.116
-.004,.001
-.492,.133
-.548,.079
-.655,.051
-.607,.055
.016,.015
-.5679999999999999,.05
-.005,.001
.06,.058
-.02,.005
-.696,.028
-.534,.058
-.024,.01
-.027,.005
-.026,.005
0,.007
-.032,.005
-.02,.005
-.029,.01
-.637,.052
-.236,.125
-.004,.007
-.149,.056
-.444,.048
-.001,.001
.239,.175
.82,.12
.44,.08
.06,.05
.63,.18
.28,.07
.89,.19
1.09,.21
.67,.21
.19,.05
-.337,.179
.53,.11
.97,.13
.54,.1
.0178,.0446
.23,.06
.38,.1
.22,.06
-.114,.0476
1.04,.22
.33,.28
.1,.05
.08,.07
.51,.14
-.0394,.0772
-.02,.07
.07,.07
.2,.05
.22,.05
-.294,.162
.67,.14
.26,.08
.74,.11
.48,.1
1.09,.18
.13,.08
.55,.09
.31,.09
.72,.09
.38,.07
.37,.11
.53,.13
.23,.07
1.11,.11
.55,.08
.09,.2
1.05,.11
.19,.07
.14,.03
.41,.1
1.41,.2
.57,.18
.28,.07
-.035,.133
.5600000000000001,.08
.23,.06
.14,.04
.47,.1
.4,.25
-.06,.05
.57,.1
.042,.039
.15,.085
.027,.009
.077,.048
.022,.029
.022,.028
.018,.016
.019,.035
.047,.027
.038,.033
.152,.037
.08,.043
.074,.04
.058,.047
.052,.015
.192,.068
.019,.038
.033,.012
.135,.074
.05,.01
.098,.042
.192,.066
.026,.028
.027,.023
.019,.012
.051,.009
.023,.008
.057,.009
.026,.027
.006,.012
.033,.053
.059,.019
.08,.046
.012,.008
.123,.053
.025,.009
.1236,.051
.011,.012
.058,.046
.047,.026
.064,.01
.013,.022
.135,.072
.007,.021
.04,.026
.048,.013
.021,.006
.01,.014
.06,.018
.044,.058
.013,.023
.0042,.0039
.0063,.0226
.0104,.0068
.0013,.002
.0118,.0066
.0013,.0025
.0002,.0042
.0008,.0044
.0083,.0062
.011,.0116
.1884,.1483
.0048,.0041
.019,.01
.012,.002
.013,.011
.013,.001
.006,.004
.01,.002
.025,.005
.027,.005
.026,.004
.01,.002
.003,.011
.041,.014
.014,.004
.026,.004
.01,.002
.005,.003
.004,.004
.024,.006
.016,.002
.009,.002
.01,.005
.012,.001
.003,.004
.001,.001
.002,.001
.009,.003
.017,.007
.019,.006
.011,.001
.019,.008
.003,.001
.007,.003
.028,.005
.011,.002
.02,.006
.004,.001
.011,.002
.008,.004
.007,.002
.006,.001
.007,.003
.006,.002
.012,.002
.014,.003
.014,.002
.007,.002
.004,.002
.001,.001
.01,.002
.022,.014
.008,.003
.004,.01
.002,.001
.01,.001
.001,.003
.013,.015
.024,.006
